Game,Region,Emulator,Playability,Resolution,Renderer,Notes,Media Links,Tested by,Date Tested:
Bujingai - The Forsaken City,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,https://www.youtube.com/watch?v=ufUe2huEpGk,Jetup13,11-25-22
Bully,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,"Fast Settings Turned on, a bit sluggish in general (Fps not stated)",,Jetup13,11-12-22
Burnout 3,NTSC-U,AetherSX2,Playable,1.25x,Vulkan,"Use Vulkan at 1.25x , Multi Threaded VU1 , EE Cycle Rate to 300(3)
EE Cycle Skip to 3 , Audio to Async Mix , Bilinear - PS2 ,Hardware Download Mode: Accurate
Threaded presentation , Multi Threaded VU1. The game runs at 60fps and 100% speed. Yes there are dips but nothing I noticed that makes the game unplayable. I would have labled the play value as ""great"" but people are waaay too picky.",,Galvy,12-04-22
Burnout 3 Takedown,ALL,AetherSX2,Somewhat,1.5x,Vulkan,"NTSC-U With a custom pnach file (RP3+ discord) to disable some of the blur and bloom effects, you can get mostly playable speeds.  I've seen it range from 20-40 Game FPS with 60 Video FPS.  The crash scenes can get really choppy and some heavy areas drop lower in FPS.  Fast/Unsafe options with EE Cycle Rate: -3,EE Cycle Skip: 2, Threaded Presentation, and Widescreen patches
https://discord.com/channels/899605564361953300/1037706752222838834/1061686782833463400",,gtaforever00,03-21-23
Burnout Revenge,NTSC-U,AetherSX2,Great,1.5x,Vulkan,"EE cycle  rate 0, EE Cycle skip 3. Runs at 60 fps and 100% speed. It did freeze for 
1 second here and there but it was very playable",,Galvy,11-26-22
Call of Duty,PAL,AetherSX2,Great,1x,Vulkan,"EE Cycle Rate: -1, EE Cycle Skip: 2. Runs 100% walking around the trenches at the start.",,GongStar,03-12-23
Call of Duty 2 - Big Red One,PAL,AetherSX2,Somewhat,1x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 3. Runs around 90-100%, with frequent little dips. There are also some graphical glitches present. Like the mud having a rainbow colored layer at times. This is only fixed by going to the super slow Software renderer. I only saw the first minute of gameplay, but I wouldn't trust this performance throughout the game even with this aggressive underclock, since my impression was that the performance seemed unreliable.",,GongStar,03-21-23
Call of Duty 3,PAL,AetherSX2,Somewhat,1x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 3. Runs 85-100% depending on where you are looking. Underclocking helps a bit but not fully, even though the numbers say 100% you can feel the slow down. A test you can do is stand close to the guy at the very beginning of training where you pick and the gun, then rotate in full circles with the camera while standing in place. You will sometimes get a mild slowdown when you reach a certain angle with the camera.",,GongStar,03-21-23
Call of Duty: World at War - Final Fronts,ALL,AetherSX2,Bad,1x,Vulkan,"Pal, slow as molasses",,Ric Flair,03-21-23
Canis Canem Edit (Bully),PAL,AetherSX2,Playable,1x,OpenGL,"EE Cycle Rate 75%, EE Cycle Skip 1, Using Vulkan will cause graphical glitches in the Inventory and Status screens. If performance is bad, do the Sleep Mode Trick (https://www.youtube.com/watch?v=c09JUOzWSo4)",https://www.youtube.com/watch?v=c0QUxKA4D4g,The Gaming Geek Net,2-3-23
Capcom Fighting Jam,PAL,AetherSX2,Perfect,1x,Vulkan,PAL. Runs 100%.,,GongStar,12-30-22
Captain Tsubasa,ALL,AetherSX2,Playable,1x,Vulkan,"Playable, but frame drop in some scene",,,03-21-23
Castlevania - Curse of Darkness,PAL,AetherSX2,Perfect,1x,Vulkan,EE Cycle Rate 60%. Game runs well,,Anonymous,11-27-22
Castlevania - Lament of Innocence,NTSC-U,AetherSX2,Great,1x,Vulkan,Fast Settings Turned On,,Jetup13,12-14-22
Champions of Norrath,NTSC-U,AetherSX2,Playable,1x,Vulkan,"Fast settings is a must, EE Cycle Rate -3, EE Cycle Skip 3, Threaded presentation On. Main menu runs very slow, cutscenes and gameplay is ok-ish. OpenGL is unusable, renders only half of the screen. Deinterlacing in Advanced needs to be set to Blend tff, otherwise the game looks bad with blurry text.",,Mike22,12-30-22
Chaos Legion,ALL,AetherSX2,Playable,1x,Vulkan,"Runs well, don't try summoning. 60% EE Cycle Rate",,Anonymous,12-15-22
Cold Fear,NTSC-U,AetherSX2,Great,1.5x,Vulkan,Runs great. No underclocking needed.,,Galvy,12-14-22
Contra - Shattered Soldier ,PAL,AetherSX2,Great,2x,Vulkan,PAL. Runs 100%.,,GongStar,12-30-22
Crash - Mind Over Mutant,PAL,AetherSX2,Great,2x,Vulkan,PAL. Runs 100%.,,GongStar,12-30-22
Crash Bandicoot: Wrath of Cortex,NTSC-U,AetherSX2,Great,1.5x,Vulkan,"Fast Settings Turned On, EE Cycle Skip Set to 0 to make sure the game runs at 60fps ins tead of 30fps. Runs well no problem at 1.5x!",,FruitLoops,12-04-22
Crash Nitro Kart,PAL,AetherSX2,Great,2x,Vulkan,PAL. Hardware Download Mode: Unsynchronized. Runs 100%. There may be some first time stutters. Also sun can be seen through walls sometimes.,,GongStar,12-16-22
Crash of the Titans,PAL,AetherSX2,Great,2x,Vulkan,PAL. Runs 100%. There may be some first time stutters.,,GongStar,12-16-22
Crash Tag Team Racing,ALL,AetherSX2,Playable,1.5x,Vulkan,"PAL. The game seems to run 100% even without underclock, but the start screen for some reason is hella slow and requires EE Cycle Rate: -2, EE Cycle Skip: 2, to run well.",,GongStar,03-21-23
Crash Twinsanity,PAL,AetherSX2,Perfect,1x,Vulkan,PAL version runs great on optimal defaults.,https://www.youtube.com/watch?v=SWpxuDRnsro,The Gaming Geek Net,03-07-23
Crimson Sea 2,NTSC-U,AetherSX2,Great,1x,OpenGL,"NTSC. Tested the starting area at base settings.
 Ran perfectly. No drops.",,Neonetik,12-18-22
Dark Angel - Vampire Apocalypse,NTSC-U,AetherSX2,Great,2x,Vulkan,USA version of the game runs 100% at default settings no slowdown whatsoever,,dudedupe,03-21-23
Dark Chronicle (Dark Cloud 2),PAL,AetherSX2,Playable,1x,Vulkan,"PAL. Hardware Download Mode: Unsynchronized. Runs around 95-100% most of the time, but has dips down to 70%~ which is jarring.",,GongStar,12-16-22
Dark Cloud,PAL,AetherSX2,Great,1x,Vulkan,"PAL. Hardware Download Mode: Unsynchronized. Runs around 95-100% most of the time, with an occasional stutter. 1.25x runs much the same but some UI elements may look a bit distorted.",,GongStar,12-16-22
Dawn of Mana,NTSC-U,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate: 180%, EE Cycle Skip: 3, Threaded Presentation: Enabled - NTSC-U",,BigSludge,12-30-22
Dead to Rights,PAL,AetherSX3,Perfect,1x,Vulkan,Works great at Optimal defaults,https://www.youtube.com/watch?v=hgXUGLJ3VeU,The Gaming Geek Net,04-07-23
Def Jam Vendetta,PAL,AetherSX3,Perfect,2x,Vulkan, It just works. Using Mjolnir Stone base settings. (PAL) ,,FosterHomeFG,
Def Jam: Fight for NY,PAL,AetherSX3,Great,1x,Vulkan,EE Cycle Skip 1. Do the Sleep mode trick to reduce dips (https://www.youtube.com/watch?v=c09JUOzWSo4).,https://www.youtube.com/watch?v=0-xcUXnpeW0,The Gaming Geek Net,03-10-23
Destroy All Humans!,PAL,AetherSX2,Great,2x,Vulkan,"EE cycle and rate and skip at 0. Runs 50fps and 100% speed.  Some very minor graphic glitches.
 Advanced settings>Skip Draw star and End to 4",,Galvy,11-30-22
Devil Kings,PAL,AetherSX2,Playable,1x,OpenGL,"Runs Great. Some small frame dips here and there (mostly on the cgi), but nothing major. EE Cycle Rate 60%",,Igor Silva,11-23-22
Devil May Cry ,PAL,AetherSX2,Great,1.25x,Vulkan,"75% Underclock, Cycle Skip 1. The game can actually run at 2.5-3x res, however in a boss battle it will severely slow down even at 1.5x. Best to run at 1.25x for steady play or you can lower the resat every boss battle.",,Galvy,11-26-22
Devil May Cry 2,NTSC-U,AetherSX2,Great,1x,,Seems to run perfect without underclock,https://www.youtube.com/watch?v=6IF3_8HTeKY,Retro Game Corps,11-25-22
Devil May Cry 3: Special Edition,NTSC-U,AetherSX2,Playable,2x,Vulkan,"NTSC-U.  Played through the first 3 missions with minimal slowdowns.  Global settings: Fast/Unsafe.  EE Cycle Rate: 0, EE Cycle Skip: 0, Widescreen enabled, Threaded presentation.  Must apply patch here https://discord.com/channels/899605564361953300/1037706752222838834/1062215215762128968",,gtaforever00,03-21-23
Digimon World 4,PAL,AetherSX2,Great,1x,Vulkan,EE Cycle Skip 1. Great performance with rare fps dips.,https://www.youtube.com/watch?v=yVabIgKqie4,The Gaming Geek Net,02-08-23
Disney Pixar Cars,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL - Fast Settings runs at 100%, can be pushed to 2x but has occasional drops. 
Will look sluggish but that's because this game internally renders at 25fps",,rehan#8008,12-30-22
Dot Hack Part 1 - Infection,NTSC-U,AetherSX2,Great,1x,Vulkan,"Some slowdown in the opening cutscene, gameplay runs well. Widescreen Hacks should be turned off to prevent a bunch of visual glitches.",,Jetup13,11-25-22
Dragon Ball Z - Budokai,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,Fast Settings Turned On. Quite a lot of Visual issues with Vulkan Backend. Vulkan needed for speed.,,Jetup13,12-04-22
Dragon Ball Z - Budokai 2,PAL,AetherSX2,Perfect,1x,Vulkan,Seems to run perfect without underclock,,Retro Game Corps,11-12-22
Dragon Ball Z - Budokai Tenkaichi 3,NTSC-U,AetherSX2,Perfect,1x,Vulkan,"EE Cycle Rate 75%, EE Cycle Skip 1. Full 30 FPS performance",https://www.youtube.com/watch?v=y3JRTBghLso (Tenkaichi 4 mod shown),LemonyFlavor,01-28-23
Dragon Ball Z: Infinite World,ALL,AetherSX2,Perfect,1x,OpenGL,OpenGL + Optimal Settings = Silky smooth 60FPS,,LemonyFlavor,03-21-23
Dragon Quest V - Hand of the Heavenly Bride,NTSC-U,AetherSX2,Perfect,2x,Vulkan,NTSC. Runs 100%.,,GongStar,12-18-22
Dragon Quest VIII - The Journey of the Cursed King,PAL,AetherSX2,Great,1.5x,Vulkan,"Hardware Download Mode: Unsynchronized. Threaded Presentation: Enabled. Advanced->Memory Wrapping: Disabled. Advanced->Round Sprite Offset: Full (Fixes slight font missalignment and black lines on the right end of the screen). Runs mostly at 95-100%, you may have an occasional stutter here and there. Word of advice, some settings have no effect at certain viewing angles/areas, while others do.

For example, the Unsynchronized setting did nothing for some dips but at another viewing angle in town it bumped the performance to 100%. So active them all for a smoother experience.",,GongStar,12-18-22
Dragon Sisters,PAL,AetherSX2,Great,1.5x,Vulkan,PAL. This mediocre beat 'em up runs at 100%.,,GongStar,03-21-23
Drakan: The Ancients' Gates,PAL,AetherSX2,Great,2x,Vulkan,"Runs 100%. Fast/Unsafe Preset. EE Cycle Rate 100%, EE Cycle Skip 0. Texture Preloading Full. OpenGL creates major model glitches and should not be used. Widescreen hacks enabled but slightly stretches certain HUD elements and makes Rynn WIIDE inside inventory, popping back when menu is closed. Minor but inconsequential stutter in certain indoor areas at all upscaling levels. Halos from light sources can be seen through objects/terrian in some cases but this is an issue on PCSX2 as well and can be ignored.",,BillyZard,03-12-23
Drakengard,NTSC-U,AetherSX2,Perfect,1x,Vulkan,"EE Cycle Rate 130%, EE Cycle Skip 1, Affinity Control Mode Disabled, Hardware Download Mode Unsynchronised. ",,Nezara & BigSludge,12-30-22
Drakengard 2,ALL,AetherSX2,Perfect,1x,Vulkan,"EE Cycle Rate 130%, EE Cycle Skip 1, Affinity Control Mode Disabled, Hardware Download Mode Unsynchronised. ",,BigSludge,12-30-22
Driv3r,ALL,AetherSX2,Bad,1x,Vulkan,"No matter what settings are used, game will not render correctly or run at higher than 8fps at about 10% speed - Emulator limitation ",,BigSludge,12-30-22
Drive to Survive,NTSC-U,AetherSX2,Great,1x,OpenGL,"NTSC. Tested the first race-track at base settings.
 Ran perfectly. No drops.",,Neonetik,12-18-22
Dynasty Warriors 3,NTSC-U,AetherSX2,Playable,1x,Vulkan,Dips to around 85% speed at busier points (sadly not a lot of gameplay shown). PAL may be recommended.,https://www.youtube.com/watch?v=6IF3_8HTeKY,Retro Game Corps,11-27-22
Dynasty Warriors 4,PAL,AetherSX2,Great,1x,Vulkan,"Optimal defaults, 100% speed, grainy but great performance.",https://www.youtube.com/watch?v=IozdQz4OR-0,The Gaming Geek Net,03-27-23
Dynasty Warriors 4 - Xtreme Legends,NTSC-U,AetherSX2,Great,1x,Vulkan,Fast Settings Turned On. A little bit of slowdown when theres lots of particles on-screen.,,Jetup13,11-30-22
Enter the Matrix,PAL,AetherSX2,Great,2x,Vulkan,PAL. Runs 100%.,https://www.youtube.com/watch?v=aQinJETjL4A,GongStar,12-18-22
Espn NFL 2K5,ALL,AetherSX2,Great,1x,Vulkan,Use Mjolnir Stone Defaults Change EE Rate 180% EE Skip (2) Game runs at 100% after initial cache (PAL) Some occasional slowdown,,FostersHomeFG,03-21-23
Eternal Poison,NTSC-U,AetherSX2,Great,1x,OpenGL,Runs Great,,Igor Silva,11-25-22
Eternal Ring,NTSC-U,AetherSX2,Great,1.5x,Vulkan,"Runs 100%, EE 0/0, Widescreen Patch, No-Interlacing, Threaded Presentation, Full Preload.  1.5x for consistency but runs smooth on 2x with TINY slowdown here and there.",,BillyZard,03-12-23
Extermination,NTSC-U,AetherSX2,Great,1x,OpenGL,"NTSC. Tested the starting area at base settings.
 Ran perfectly. No drops.",,Neonetik,12-18-22
Fahrenheit ,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL. Hardware Download Mode: Unsynchronized. Threaded Presentation: Enabled. Runs 100%. You may get some dips at times, especially when screen is split.",,GongStar,12-18-22
Fairly Odd Parents - Breaking da Rules,ALL,AetherSX3,Playable,1.5x,Vulkan,"Runs at ok speeds, with a lot of slowdowns regardless of resolution 
(between 1x and 1.5x). No graphical glitches that I was aware of.
Used CPU at 100% and -3 skip underclock. Seemed to be the best combination,
instead of underclocking both. Final speeds between 15-30FPS (It is locked at 30)
Would appreciate anyone attempting better settings here.",,Dekhran,
Fallout - Brotherhood of Steel,PAL,AetherSX2,Somewhat,1x,Vulkan,PAL. Runs 70-100%. Underclock doesn't seem to do anything. The game has spots on the map that can drop down to 70%ish. So it feels uneven and I bet there will be maps further on in the game that cause bad dips.,,GongStar,03-21-23
Family Guy - Video Game!,ALL,AetherSX2,Playable,1x,OpenGL,"Title Screen runs slow (35~ FPS | Relaunching Title Screen after being ingame runs fine), once ingame runs fine (60~ FPS)",,Creeper,03-21-23
Fantavision,PAL,AetherSX2,Perfect,1.75x,Vulkan,PAL. Runs 100%.,,GongStar,12-30-22
Fatal Frame II: Crimson Butterfly,ALL,AetherSX2,Perfect,2x,Vulkan,"Fast/Unsafe, threaded presentation, EE Cycle Skip - Mild Underclock, unsynchronized.",,Anonymous,03-21-23
Fight Night Round 2,PAL,AetherSX2,Great,1x,Vulkan,"Optimal defaults, 100% speed, occasional unnoticeable framerate drops.",https://www.youtube.com/watch?v=31dI7lK2vto,The Gaming Geek Net,12-26-22
Fight Night Round 3,PAL,AetherSX2,Great,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 1. First fight may start below 100% but improves almost immediately. Do the Sleep mode trick to reduce dips (https://www.youtube.com/watch?v=c09JUOzWSo4).",https://www.youtube.com/watch?v=QpN3VRYbTVI,The Gaming Geek Net,02-22-23
Fight Night Round 3,ALL,AetherSX2,Playable,1x,,"Averages around 56 fps, PAL might make game fully playable",https://www.youtube.com/watch?v=KeaVarhil8A,Retroid Youtube,
Final Fantasy X ,NTSC-J,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,,Jetup13,
Final Fantasy X-2,PAL,AetherSX2,Perfect,1x,Vulkan,Seems to run perfect without underclock,,,11-27-22
Final Fantasy XII,PAL,AetherSX2,Great,1.25x,Vulkan,Multithreaded VU1 enabled. A little bit of slowdown during intense sequences in battles (such as a ton of special effects) and in menu. However it's nothing experience ruining and you can easily put the resolution back to 1x if there's problems.,,Yoona,11-25-22
Final Fight Streetwise,ALL,AetherSX2,Great,1.5x,Vulkan,"Plays great, just some minimal frame dips. Almost perfect ",,jeeanvictor,03-21-23
FlatOut 2,PAL,AetherSX2,Bad,1x,Vulkan,"PAL. Runs 60-100%. Underclock only makes the numbers go 100%, still feels sluggish. Not enjoyable.",,GongStar,03-21-23
Frequency,NTSC-U,AetherSX2,Great,2x,Vulkan,Works great even at 2x!,,Mjolnirstone,12-14-22
Front Mission 4,NTSC-U,AetherSX2,Great,2x,Vulkan,"NTSC-U. EE Cycle Rate: -1, EE Cycle Skip: 2. To fix lines in dialog boxes, set the following, Round Sprite Offset: Full, TC Offset X/Y: 180/10. Runs 100%. You may experience some dips here and there. FMVs run slow at around 70%.",,GongStar,12-30-22
Front Mission 5,ALL,AetherSX2,Playable,1x,Vulkan,"Occasional slowdown during combat scenes, usually when there's motion blur applied, but otherwise seems to run quite well at default settings and no underclock",,Kirbysuperstar,12-04-22
Futurama,ALL,AetherSX2,Perfect,3x,Vulkan,Runs great at 3x Resolution,,Anonymous,03-21-23
Galactic Wrestling feat. Ultimate Muscle,NTSC-U,AetherSX2,Perfect,2x,Vulkan,Plays great without tweaks. If you get dips (which I did not) reduce the resolution.,,Galvy,12-19-22
"Getaway, The",PAL,AetherSX2,Playable,1x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 2. Skip Draw Start: 4. Runs mostly at 100%. There are some dips and graphical glitches though. Software rendering will solve those issues but the game runs bad then. The transparent white layer in the distance is removed with skip draw, but the windows on the car don't render then. I've also seen geometry morphing. Hardware Download Mode: Unsynchronized can also help with performance but I don't know if that introduces more glitches.",,GongStar,03-21-23
Ghost Rider,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 2. Some action sequences might play between 90%-94% speed and there are occasional dips, but mostly sticks to 100%.",https://www.youtube.com/watch?v=wSBRF1kO5GE,The Gaming Geek Net,09-17-23
Giants - Citizen Kabuto,PAL,AetherSX2,Great,1.5x,Vulkan,PAL. Hardware Download Mode: Unsynchronized. Threaded Presentation: Enabled. EE Cycle Skip: 2. Runs around 95-100%.,,GongStar,12-30-22
God Hand,NTSC-U,AetherSX2,Playable,1.5x,Vulkan,"Ran at fullspeed for the entirety of the first level in the NA version of the game at 1.5x, can probably handle 1.75x. Dropped down to close to 2/3rds in the Casino though depending on where the camera is facing. Can possible fix this with tweaking + playing on the PAL version. Used EE Cycle Rate -2, EE Cycle Skip 1. Additional settings that I used that may or may not be necessary: Multi-threaded VU1 turned on, Hardware Download Mode set to ""Disable Readbacks"", Synchronization Mode set to ""Async Mix"", and Threaded Presentation turned on.  ",https://www.youtube.com/watch?v=zZ-JmVd3jTs&feature=youtu.be,actremix,11-06-22
God of War,PAL,AetherSX2,Great,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 1. Hardware Download Mode to Disable Readbacks. Do the Sleep mode trick to reduce dips (https://www.youtube.com/watch?v=c09JUOzWSo4).",https://www.youtube.com/watch?v=GZzxRYh69q0,The Gaming Geek Net,03-10-23
God of War 2,NTSC-U,AetherSX2,Playable,1x,Vulkan,"Runs at 27-30 fps, definitely a lot of underclocking involved as game is shown to run full speed while not looking SUPER smooth. Not too much audio stuttering though.",https://www.youtube.com/watch?v=lLAtwUrTwyk,Retroid Youtube,12-15-22
Godzilla - Save the Earth,PAL,AetherSX2,Playable,1x,Vulkan,No underclock. Seems to have some frame dips when hitting something as Godzilla,https://www.youtube.com/watch?v=6IF3_8HTeKY,Retro Game Corps,12-12-22
Gran Turismo 3,PAL,AetherSX2,Playable,1x,Vulkan,"Same settings used for GT4. Initially had some slowdown the first time I raced around a track with all the racers but after redoing the races there is only minor slowdown when starting, and the rest of the race plays great!

A few tracks do run terrible however such as Special Stage 5 and theres a few other tracks reported by discord users that do not run great. However a good majority run full speed without issue.

Also another setting I added outside of the ones recommended for GT4 was Async Audio to reduce the immersion breaking in case theres dips.",,FruitLoops,11-08-22
Gran Turismo 4,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate - 130%, EE Cycle Skip - 3, Affinity Control Mode - Disabled, Multi-Threaded VU1 - Enabled, Hardware Download Mode - Unsynchronised, Bilinear Filtering - PS2, Threaded Presentation - Enabled. (PAL)",https://www.youtube.com/watch?v=QNo5WZBWiuU,BigSludge,12-31-22
Grand Theft Auto III,ALL,AetherSX2,Great,1x,Vulkan,Footage primarily was at full speed no problem. Unknown if underclocking was used but GTA 3 looks good even with underclocking apparently.,https://www.youtube.com/watch?v=WVfqL7TYGu0&t,Retroid Youtube,11-30-22
Grand Theft Auto Vice City,NTSC-U,AetherSX2,Great,1x,Vulkan,Played through story and a few side missions (NTSC version) ee cycle rate -2 ee cycle skip 2. Had very few slow downs only major slow down was during the all hands on deck mission. Otherwise an enjoyable playthrough,,Whippy,
Grand Theft Auto: San Andreas,NTSC-U,AetherSX2,Playable,2x,Vulkan,"NTSC. -50% underclock, Hardware download Unsynchronized, 8x Anisotropic filter.",,Mike Hunny,03-21-23
Grandia 2,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,,Jetup13,11-30-22
Grandia 3,NTSC-U,AetherSX2,Somewhat,1.5x,OpenGL,"Slowdowns as slow as 70% speed sometimes. 1.5x res does not affect performance so may as well. Use OpenGL. Affinity Control: VU > EE > GS, Advanced->VU1 Clamp Mode: None.",,Cristoffer,11-30-22
Grandia Xtreme,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,11-30-22
Grim Grimoire,PAL,AetherSX2,Perfect,2x,Vulkan,Runs perfectly both in visual novel story segments and in gameplay on safe settings. No speedhacks necessary. (PAL),,Mike22,11-30-22
Grim Grimoire,NTSC-U,AetherSX2,Perfect,2x,Vulkan,Runs perfectly both in visual novel story segments and in gameplay on safe settings. No speedhacks necessary. (NTSC-U),,Mike22,12-30-22
Growlanser 2,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,11-30-22
Growlanser 3,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,12-14-22
Growlanser 5,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,12-04-22
